id,name,servings,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,iron_per_serving,isVegetarian,ingredients_count,grams_per_serving,unmatched_ingredients,approximated_ingredients
aloo_puri,Aloo Puri,2,514.2,14.6,107.8,1.4,7.2,3.64,true,9,321,,
masala_dosa,Masala Dosa,4,804.3,26.1,160.7,10.2,15.8,11.44,true,18,395,,
ragi_dosa,Ragi Dosa,1,797.3,20.9,163.7,4.3,23.3,13.38,true,11,409,,
moong_dal_dosa,Moong Dal Dosa,1,96.7,2.2,20.1,0.6,1.5,1.57,true,4,218,,
handvo,Handvo,2,546.2,23.5,99.2,8.9,15.1,9.24,true,21,410,,
masala_rice_pulao,Masala Rice Pulao,2,631.2,17.6,128.2,9.9,16.3,10.58,true,19,412,,
sabudana_khichdi,Sabudana Khichdi,1,114.7,3.9,18.5,27.0,5.7,3.22,true,12,592,,
rice_bath,Rice Bath,3,456.3,15.3,73.8,16.6,26.5,10.45,true,26,392,,
how_to_make_soft_idli,How To Make Soft Idli,2,811.4,29.8,160.8,3.1,14.8,10.69,true,3,278,,
semiya_upma,Semiya Upma,1,710.3,25.7,110.6,41.0,26.2,10.52,true,21,540,,
mushroom_pepper_fry,Mushroom Pepper Fry,1,209.7,16.2,21.9,31.1,19.7,5.98,true,12,482,,
aloo_tikki,Aloo Tikki,1,264.2,8.1,51.4,1.9,10.8,6.69,true,12,476,,
badam_puri,Badam Puri,7,856.1,25.8,28.1,76.8,17.2,6.36,true,11,232,,
veg_kadai,Veg Kadai,6,461.6,32.5,29.6,29.4,12.1,5.38,true,27,384,,
malpua,Malpua,2,416.1,13.2,71.1,8.2,3.9,1.99,true,9,311,,
bhindi_masala,Bhindi Masala,3,87.8,5.9,11.9,3.9,10.4,3.75,true,17,347,,
aloo_methi_paratha,Aloo Methi Paratha,2,444.6,13.0,92.5,5.7,6.1,3.92,true,12,319,,
cocktail_samosa,Cocktail Samosa,1,562.7,18.5,113.6,27.5,14.6,7.03,true,14,560,,
kashmiri_pulao,Kashmiri Pulao,2,568.9,15.4,88.7,28.6,10.2,9.6,true,16,240,,
eggless_chocolate_cake,Eggless Chocolate Cake,3,336.2,12.2,55.3,10.0,1.4,1.09,true,11,354,,
brownie,Brownie,2,616.0,13.0,83.3,27.3,1.2,0.92,true,9,285,,
roti_pizza,Roti Pizza,1,0.0,0.0,0.0,0.0,0.0,0.0,true,1,0,,
mango_shrikhand,Mango Shrikhand,2,119.4,3.6,9.3,7.3,3.6,0.9,true,8,364,,
eggless_omelette,Eggless Omelette,1,464.5,27.3,71.5,6.2,21.4,10.64,true,9,292,,
goli_idli,Goli Idli,1,625.0,16.4,126.2,15.2,11.5,9.92,true,14,272,,
bun_dosa,Bun Dosa,3,837.5,15.6,125.6,33.6,13.0,8.74,true,9,254,,
peanut_rice,Peanut Rice,4,688.4,16.3,128.9,16.7,11.8,9.51,true,17,262,,
rava_uttapam,Rava Uttapam,2,432.8,16.0,85.4,1.6,18.2,6.51,true,11,329,,
mayonnaise_pasta,Mayonnaise Pasta,2,471.3,10.0,50.3,29.4,2.9,1.06,true,12,219,,
pudina_rice,Pudina Rice,3,352.2,12.6,63.2,16.8,16.3,9.12,true,24,358,,
mayonnaise_sandwich,Mayonnaise Sandwich,2,493.9,4.4,9.0,48.6,6.8,2.49,true,12,304,,
puliyogare,Puliyogare,2,537.5,21.8,55.8,27.9,44.6,13.64,true,18,296,,
jowar_pancake,Jowar Pancake,1,579.8,20.5,113.2,3.1,23.7,10.16,true,15,590,,
